,HIV/AIDS,Diarrheal diseases,Nutritional deficiencies,Neonatal disorders,Neoplasms,Protein-energy malnutrition,Lower respiratory infections,Alzheimer's disease and other dementias,Exposure to forces of nature,Cardiovascular diseases,Tuberculosis,Chronic kidney disease,Conflict and terrorism,Diabetes mellitus,Drowning,Malaria,Meningitis,Parkinson's disease,Acute hepatitis,Maternal disorders,Self-harm,Cirrhosis and other chronic liver diseases,Digestive diseases,Road injuries ,Interpersonal violence,Environmental heat and cold exposure,Drug use disorders,"Fire, heat, and hot substances",Alcohol use disorders,Poisonings
2010,4.009642685672921e-05,-0.00024171573802044075,-0.00023623591323103442,-7.876160152906712e-05,0.00010299938514434078,-0.00021265438816804106,-0.00016707280260623873,7.230185303962319e-05,0.0009520466644256751,6.064323469784664e-05,-0.00012395756339383772,5.410940116714312e-05,-0.00015348552865210871,2.9964745895232243e-05,-5.152274632947031e-05,4.518782286825094e-06,-1.5861788414335055e-05,1.4531827020983001e-05,-1.492457499518903e-05,-1.1347786288624581e-05,-4.925058649733749e-06,8.885447102963194e-06,3.634382906046252e-06,2.5813371730911046e-06,-3.96557874423581e-06,-6.251724809351012e-07,-2.6795721860078294e-07,-2.485892163337213e-06,-2.720851884713217e-08,-1.8626156846204435e-07
2011,4.581920635899034e-06,-0.0002772686727631028,-0.0002621826022084592,-0.00011240958964277683,0.00017056135076998213,-0.00023842262828129826,-0.0001842234537684567,0.00012107170048955757,-3.3643489081816987e-05,0.00011728674022261788,-0.00016464508935310168,8.802205441298377e-05,-0.00010679744597025807,5.2771677818087425e-05,-6.819077048198169e-05,-2.3043742142398198e-07,-2.9822710213174173e-05,2.2610063841845332e-05,-1.941239420453521e-05,-1.589370503324433e-05,-7.285495782463852e-06,1.1665692617221935e-05,6.962488047494622e-06,1.0627928335727984e-06,-5.360036831576352e-06,-6.655626307687566e-06,-7.006321085426463e-08,-3.4919948470290408e-06,-3.555620531292707e-07,-5.466207117581066e-07
2012,-7.0923880768246285e-06,-0.0003966856837727172,-0.0003258034524186732,-0.0001596467905237162,0.0002355996788910063,-0.00030268201092585275,-0.00019568712987181854,0.00017593475909632593,-0.00023772908122141197,0.0001698291498216254,-0.0001899490066311182,0.00012058521856120157,-1.2979699703793778e-07,8.306604170287045e-05,-8.093845475205005e-05,-2.2594967067320016e-05,-4.823264472515482e-05,3.132900863494581e-05,-2.339248391075715e-05,-2.522438073074225e-05,-1.2846683153149832e-05,1.1857610907963097e-05,7.926599677487794e-06,1.7493331880344946e-08,-4.420066436215946e-06,-7.220803427200964e-06,-8.680037129094516e-11,-4.929326513717356e-06,-9.617851833029312e-07,-1.2335585674345606e-06
2013,-5.031654569387909e-05,-0.0005065642372876792,-0.000360491830248891,-0.0002196611809169853,0.0002935200703971701,-0.000335277518357051,-0.00020166524773888167,0.00023450556235766486,-5.7866262369067286e-05,0.0002265706571965391,-0.00021866626693507404,0.00015917882692895549,1.588179200864853e-07,0.00011756515740833575,-0.00010403691429072717,-7.694803613294415e-05,-6.91899124285896e-05,4.242196616747237e-05,-3.6268661358980356e-05,-3.2181534855424865e-05,-2.216859708998643e-05,1.0444679592149127e-05,8.852980142224167e-06,-2.3912183158596102e-06,-6.486702347650435e-06,-1.077468238691526e-05,3.379794533315574e-07,-5.758839941152514e-06,-1.4803774332465078e-06,-2.030875307572821e-06
2014,-0.00011061859827174577,-0.0006663330045167557,-0.00039793453218253303,-0.000318558013695824,0.00036962230656453505,-0.00037135509797150273,-0.0002252339695529874,0.0003026587881852817,-0.0002683045670685199,0.0002804928486528392,-0.0002525616818161865,0.00019481806387923418,0.00012153249334296808,0.00015992460196105488,-0.0001291172069501856,-0.00012109467247794679,-9.08787554378006e-05,5.3360653096238295e-05,-5.3295412761292075e-05,-4.8227408229257985e-05,-3.35136748379262e-05,8.95070835458552e-06,8.753562817390907e-06,-8.753998966896958e-06,-9.038749643156528e-06,-1.2700920373634561e-05,1.8565995314118243e-06,-8.042899041593534e-06,-1.7079617662521448e-06,-3.5217653938612826e-06
2015,-0.00018777395609328746,-0.0008292942437268386,-0.00043848760449790875,-0.00044131785324139517,0.0004578363815400171,-0.0004089008992964689,-0.00025742421117444557,0.0003682789412050905,-0.00015025641869301432,0.00037454569674527476,-0.0003267357831218264,0.00023331576144327844,6.11551367492408e-05,0.00020118075344326158,-0.00014877996839474583,-0.00017085486082732177,-0.00012790133834193285,6.167693495859843e-05,-6.892491330112266e-05,-6.527177713725271e-05,-4.244031221101359e-05,1.0811265153335217e-05,1.1983295384072803e-05,-1.915163072322562e-05,-1.0024808701639641e-05,-8.721827481246691e-06,5.177575885772712e-06,-9.290900950967938e-06,-1.867100456341529e-06,-5.182768300462644e-06
2016,-0.00026268953205087686,-0.0009782962753172681,-0.0004770710852653958,-0.0006337357005486224,0.0005607708311540609,-0.0004452751461019287,-0.00030741443760067813,0.00045549513841059135,-0.00024796728048321216,0.00046116844938402964,-0.0003852340222917682,0.00027593543783007313,4.651899651273724e-05,0.0002520655837224082,-0.00017166264098144722,-0.00027361562054702463,-0.00015210148300547294,7.164386203681523e-05,-8.573755404643591e-05,-7.981793012214303e-05,-4.849298422017804e-05,1.2977486506810432e-05,1.5596870821837808e-05,-2.9087454110445984e-05,-1.4966908676060711e-05,-1.741966078723777e-05,1.1740462427532484e-05,-1.0798476286472326e-05,-1.9301033376245666e-06,-6.983450405679344e-06
2017,-0.00038465789310199085,-0.001041196027735317,-0.0005169858298766387,-0.0008598306384697023,0.0006658605404642384,-0.0004841227408121768,-0.00037532350542962556,0.0005524465227913123,-0.00018013487334353622,0.0005465989632802652,-0.00044616324218096654,0.0003013908246722566,3.5886473215819505e-06,0.00029978722417387405,-0.00020077340264233897,-0.00036770155762559415,-0.00019229676351132513,8.176138016058798e-05,-9.715703462529493e-05,-9.506080678548814e-05,-5.4034147893277165e-05,1.6624536911256254e-05,2.1091360974557203e-05,-3.876628092334294e-05,-1.4221367530275932e-05,-2.1262370899317228e-05,1.7580676914823136e-05,-1.275999097818313e-05,-2.2864219800565407e-06,-9.544311614333135e-06
2018,-0.0005621345723329668,-0.0012808386577996883,-0.0005858179767936058,-0.0011204994379027233,0.0007921324883374044,-0.000550241455347811,-0.00042978290713515353,0.0006370115280054088,-0.00021286818512840814,0.0006640685922021487,-0.0005494772367287911,0.00033115757220984234,-9.286274483028407e-06,0.00034427844214287087,-0.00021781923485182306,-0.0003876884685353817,-0.00023293940173207137,9.489363323252086e-05,-0.00010835995361239015,-0.00010535059530651604,-5.319054655747251e-05,1.7134990670377142e-05,2.1673606059054553e-05,-4.518875452736446e-05,-1.6945760675212145e-05,-2.2939551314875932e-05,2.213130563630993e-05,-1.2866387583002634e-05,-2.060851359004471e-06,-1.1983752001837737e-05
2019,-0.0006937097624871076,-0.0015087213555675435,-0.0006455037023527343,-0.0013877767750075593,0.0009364594979420198,-0.0006064454276724024,-0.0004789228221204478,0.0007080584802444099,-0.0003038267479931582,0.0007778402755724469,-0.0006608935696732553,0.000361622167909715,-0.00013005614194701824,0.00038687607701061574,-0.0002421406688674888,-0.0003798262351895857,-0.00026673571956467546,0.00010648171255258688,-0.00012093805517082989,-0.000118313742507304,-6.0808566129915494e-05,1.726288581695081e-05,2.2328955271740353e-05,-5.8565911220822544e-05,-2.7761300965237982e-05,-2.1658029944823803e-05,2.7236512235609894e-05,-1.4305092747826718e-05,-2.0580141870100055e-06,-1.4707095729059398e-05
